WORD	BFRQ	CNC	KFCAT	FAM	KFSMP	IMG	KFFRQ	NLET	CMEAN	NPHN	NSYL	T-LFRQ
COITUS	-	-	-	-	-	-	-	6	-	6	3	-
TASTELESS	-	-	1	-	1	-	1	9	-	-	3	20
NEWSPAPER	3	576	13	641	43	616	65	9	-	8	3	610
ENVY	1	265	4	511	7	375	7	4	-	4	2	78
DERANGED	-	-	-	-	-	-	-	8	-	-	-	-
PAPER	50	599	15	635	88	590	157	5	460	4	2	1235
SALVO	-	-	2	-	2	-	2	5	-	5	2	-
SHOULDERS	-	-	-	-	-	-	-	9	-	-	-	-
IMMATURE	2	-	5	558	6	439	7	8	-	6	3	17
PURITY	-	-	7	-	12	-	12	6	-	7	3	22
WITNESS	1	459	11	496	25	467	28	7	-	6	2	309
LAPEL	-	-	1	362	1	-	1	5	-	5	2	21
DEMOTE	-	-	-	-	-	-	-	6	-	-	-	-
DUEL	-	456	2	439	3	494	5	4	356	5	2	50
FIRMLY	3	-	11	-	42	-	49	6	-	-	2	236
COMMITMENT	3	-	7	-	11	-	13	10	-	9	3	11
BADGER	-	-	-	-	-	-	-	6	-	4	2	18
DEALS	1	-	-	-	-	-	-	5	-	-	-	-
EMPIRICAL	1	-	4	-	9	-	23	9	-	9	4	-
WITNESSES	-	-	-	-	-	-	-	9	-	-	-	-
CLAM	-	564	3	486	3	541	3	4	392	4	1	34
HASSLES	-	-	-	-	-	-	-	7	-	-	-	-
GANGRENOUS	-	-	-	-	-	-	-	10	-	-	-	-
DESIRE	1	-	14	550	72	368	79	6	-	5	3	779
SEATED	-	-	-	-	-	-	-	6	-	-	-	-
WEAPON	-	560	12	517	28	546	42	6	-	5	2	149
DAY	113	477	15	595	288	526	686	3	505	2	1	4549
PASTIES	-	-	-	-	-	-	-	7	-	-	-	-
STOPPING	2	-	11	-	14	-	14	8	-	-	2	-
ENGINE	6	586	10	543	21	595	50	6	490	5	2	262
CRATE	-	-	1	-	1	-	2	5	-	4	1	42
HAND	42	604	15	601	220	598	431	4	487	4	1	3334
ENLIGHTENMENT	-	260	1	395	2	335	2	13	-	10	4	14
RHYTHMS	-	-	-	-	-	-	-	7	-	-	-	-
FREEWAY	-	-	-	-	-	-	-	7	-	-	-	-
TOAST	2	582	9	571	13	594	19	5	402	4	1	180
STUPID	20	351	8	550	20	381	24	6	487	7	2	144
PSYCHIC	-	-	3	-	3	-	3	7	-	5	2	22
TORQUE	-	-	1	-	1	-	5	6	-	3	1	-
TAP	2	538	9	567	12	541	18	3	410	3	1	136
AND	5453	220	15	620	500	226	28852	3	290	3	1	138672
PANDA	-	-	-	-	-	-	-	5	-	-	2	-
COMELY	-	-	1	-	1	-	1	6	-	-	3	7
COMELY	-	-	1	-	1	-	1	6	-	5	2	7
COMMON	13	-	14	595	132	276	223	6	-	5	2	568
CLAVICLE	-	-	-	-	-	-	-	8	-	7	3	-
MOURNED	-	-	-	-	-	-	-	7	-	-	-	-
LANKY	-	-	2	-	2	-	2	5	-	5	2	11
POKING	3	-	4	-	5	-	5	6	-	-	2	-
RESPIRATION	-	-	1	-	2	-	2	11	-	10	4	2
CLAP	-	-	1	-	1	-	1	4	-	4	1	24
AX	-	-	2	-	5	-	6	2	-	-	1	53
RELY	5	-	9	-	13	-	13	4	-	4	2	68
ARTS	15	-	-	-	-	-	-	4	-	-	-	-
YOGIS	-	-	-	-	-	-	-	5	-	-	-	-
SCIENCES	1	-	-	-	-	-	-	8	-	-	-	-
RECORD	15	558	15	609	83	591	137	6	-	5	2	517
AUTHENTIC	-	276	9	477	15	428	20	9	470	7	3	35
REVENUE	-	373	8	401	20	330	35	7	-	7	3	43
SARI	-	-	1	-	1	-	1	4	-	4	2	-
TAWDRY	-	-	2	-	2	-	2	6	-	5	2	8
ALLOW	15	268	13	504	60	373	72	5	368	3	2	690
PLEAD	1	-	4	438	5	393	5	5	-	4	1	275
SHORTNESS	-	-	1	-	1	-	1	9	-	-	2	2
INTERPRETED	-	-	-	-	-	-	-	11	-	-	-	-
INFLAMED	-	-	-	-	-	-	-	8	-	-	-	-
POWER	6	325	15	556	156	450	342	5	505	-	2	911
DEB	-	-	-	-	-	-	-	3	-	-	1	-
VIRTUAL	-	-	3	-	5	-	5	7	-	7	2	17
CAPITAL	8	448	10	538	40	518	85	7	436	6	3	250
TURNED	28	-	-	-	-	-	-	6	-	-	-	-
PIGSKIN	-	-	1	-	1	-	1	7	-	7	2	15
BUDAPEST	-	-	-	-	-	-	-	8	-	-	-	-
APPEARANCE	-	358	13	578	50	425	57	10	-	7	3	426
CHARLES	-	-	-	-	-	-	-	7	-	-	-	-
BASE	3	441	13	520	52	436	91	4	398	3	1	337
BUCKETS	1	-	-	-	-	-	-	7	-	-	-	-
PAINFUL	2	-	12	-	25	-	25	7	-	-	2	96
AFFIX	-	-	1	-	1	-	1	5	-	5	2	6
OUTSIDE	25	-	15	607	136	419	210	7	-	5	2	921
CURE	3	352	7	526	16	397	28	4	477	3	1	219
BUDGET	1	366	7	517	26	394	59	6	-	5	2	153
SELLER	-	444	4	459	5	427	6	6	369	4	2	52
TEN	71	-	15	-	119	-	165	3	-	3	1	1260
COLD	32	457	15	626	98	531	171	4	539	4	1	1092
MISTER	-	349	5	529	7	365	10	6	348	5	2	-
CAPYBARA	-	-	-	-	-	-	-	8	-	-	4	-
REMOTELY	1	-	-	-	-	-	-	8	-	-	-	-
TITLED	-	-	6	-	10	-	12	6	-	-	2	11
BANGS	-	-	-	-	-	-	-	5	-	-	-	-
GARGLED	-	-	-	-	-	-	-	7	-	-	-	-
CYLINDRICAL	-	-	2	-	6	-	11	11	-	11	4	2
LOSER	1	-	1	-	1	-	1	5	-	4	2	13
COMPLAINTS	-	-	-	-	-	-	-	10	-	-	-	-
SNORTS	-	-	-	-	-	-	-	6	-	-	-	-
MINSTRELS	-	-	-	-	-	-	-	9	-	-	-	-
BOTHERING	-	-	-	-	-	-	-	9	-	-	-	-
PROTECTED	1	-	-	-	-	-	-	9	-	-	-	-
CLOCKWISE	-	-	3	-	3	-	3	9	-	7	2	-
TALENT	3	290	12	523	32	399	40	6	-	6	2	166
FLAT	41	-	12	-	46	-	67	4	-	4	1	510
SALVAGE	-	-	4	-	4	-	5	7	-	6	2	24
GERMANY	-	-	-	-	-	-	-	7	-	-	-	-
SPECTROSCOPY	-	-	1	-	1	-	3	12	-	12	4	-
SHOVEL	-	581	3	528	4	538	5	6	418	4	2	47
TRAY	-	590	7	558	10	550	18	4	450	3	1	203
FRACTION	-	-	7	-	15	-	23	8	-	7	2	36
SABOTAGE	-	-	2	-	2	-	3	8	-	7	3	-
MALE	1	564	12	588	29	587	37	4	533	3	1	148
PUB	9	-	1	-	1	-	1	3	-	3	1	28
AFTERWARD	-	-	7	-	14	-	16	9	-	7	3	330
DISTILLED	-	-	-	-	-	-	-	9	-	-	-	-
SANSKRIT	-	-	-	-	-	-	-	8	-	8	2	-
PAUSING	-	-	-	-	-	-	-	7	-	-	-	-
CAPE	-	581	10	521	16	566	20	4	427	3	1	75
VASTLY	1	-	-	-	-	-	-	6	-	-	-	-
DUTY	2	322	14	543	46	346	61	4	413	5	2	562
FAME	4	-	8	-	12	-	18	4	-	3	1	107
REMINDED	2	-	-	-	-	-	-	8	-	-	-	-
DIRECTOR	16	-	14	-	55	-	101	8	-	7	3	315
FIGHTS	1	-	-	-	-	-	-	6	-	-	-	-
BIBLE	3	585	11	496	28	594	59	5	489	-	1	-
COLONIES	-	-	-	-	-	-	-	8	-	-	-	-
WEDLOCK	2	-	1	-	2	-	2	7	-	6	2	9
CONSISTING	-	-	-	-	-	-	-	10	-	-	-	-
DURING	38	-	15	-	265	-	585	6	-	6	2	1081
ASSESS	5	-	5	-	5	-	6	6	-	4	2	2
MATH	-	386	3	548	3	487	4	4	425	-	1	-
BRIEFS	-	-	-	-	-	-	-	6	-	-	-	-
DISTRESSING	-	-	-	-	-	-	-	11	-	-	-	-
POINT	141	464	15	538	223	481	395	5	376	4	1	1377
USED	123	315	15	567	240	344	612	4	363	-	2	-
USED	123	315	15	567	240	344	612	4	363	4	1	-
DUNE	-	-	1	-	1	-	1	4	-	4	1	13
ADMINISTER	-	-	2	-	3	-	3	10	-	9	4	50
SPEEDER	-	-	-	-	-	-	-	7	-	-	2	-
GUARDING	2	-	-	-	-	-	-	8	-	-	-	-
CHEEKS	-	-	-	-	-	-	-	6	-	-	-	-
HEARTBREAKING	-	-	2	-	2	-	2	13	-	9	3	30
ADDICTIVE	-	-	-	-	-	-	-	9	-	-	-	-
SITES	4	-	-	-	-	-	-	5	-	-	-	-
NATION	5	415	13	508	73	436	139	6	457	5	2	530
AMBIVALENT	-	-	5	-	6	-	6	10	-	10	4	-
NEIGHBOURHOODS	-	-	-	-	-	-	-	14	-	-	-	-
SNAP	-	420	6	526	10	410	12	4	373	4	1	341
SENSOR	-	-	1	-	2	-	3	6	-	-	2	-
DOWELS	-	-	-	-	-	-	-	6	-	-	-	-
YOKE	-	542	3	441	3	514	3	4	352	3	1	16
EQUIVALENT	11	-	11	-	31	-	46	10	-	10	4	59
BERTRAM	-	-	-	-	-	-	-	7	-	-	2	-
ANALOG	4	-	-	-	-	-	-	6	-	-	-	-
ASSERTING	-	-	-	-	-	-	-	9	-	-	-	-
DISENCHANTED	-	-	-	-	-	-	-	12	-	-	-	-
TORMENTED	-	-	-	-	-	-	-	9	-	-	-	-
CIRCUIT	1	493	9	442	16	472	23	7	-	5	2	47
THUMBS	-	-	-	-	-	-	-	6	-	-	-	-
WAIL	-	439	2	426	3	452	3	4	426	-	1	112
SPHINCTER	-	-	-	-	-	-	-	9	-	7	2	-
BUCKLE	-	568	3	474	5	587	5	6	366	4	2	43
SWIMS	-	-	-	-	-	-	-	5	-	-	-	-
EQUITABLE	-	-	5	-	7	-	11	9	-	8	4	7
SHOULD	175	249	15	565	320	295	888	6	374	3	1	1000
CLOSENESS	-	-	1	-	1	-	1	9	-	-	3	9
NEGOTIATE	-	-	3	-	5	-	10	9	-	8	4	23
LAWRENCE	-	-	-	-	-	-	-	8	-	-	-	-
SHOUT	-	471	4	557	9	484	9	5	525	3	1	562
PRESTIGIOUS	-	-	-	-	-	-	-	11	-	-	3	-
INTERESTINGLY	3	-	-	-	-	-	-	13	-	-	-	-
PROVINCE	-	-	6	-	11	-	15	8	-	7	2	50
CONTAINMENT	-	-	-	-	-	-	-	11	-	-	-	-
QUANTA	-	-	-	-	-	-	-	6	-	-	-	-
DERMATOLOGIST	-	-	-	-	-	-	-	13	-	12	5	-
WIGHT	-	-	-	-	-	-	-	5	-	3	1	2
CONSCIENCE	1	255	9	536	22	386	40	10	-	7	2	134
SIX	71	-	15	-	147	-	220	3	-	4	1	806
HID	-	-	3	-	4	-	6	3	-	3	1	75
RUPEES	-	-	-	-	-	-	-	6	-	-	-	-
ILL	12	-	11	-	34	-	39	3	-	2	1	341
WITHDRAWING	1	-	3	-	4	-	4	11	-	-	3	-
SHIFTED	2	-	-	-	-	-	-	7	-	-	-	-
RESCIND	-	-	1	-	1	-	2	7	-	6	2	2
LAURA	-	-	5	-	7	-	20	5	-	-	2	-
GUINEA	-	-	3	-	3	-	3	6	-	4	2	9
UNSYMPATHETIC	-	-	2	-	2	-	3	13	-	12	5	-
ARROW	-	595	3	490	3	619	14	5	-	3	2	39
ADHERE	-	-	2	-	4	-	4	6	-	4	2	17
KNIGHTED	-	-	-	-	-	-	-	8	-	5	2	-
STARTLE	-	-	1	450	1	410	1	7	-	-	1	268
STARTLE	-	-	1	450	1	410	1	7	-	5	2	268
CORRIDOR	11	568	5	579	11	553	17	8	-	6	3	170
HOOP	-	-	2	-	2	-	3	4	-	3	1	14
INITIATING	-	-	-	-	-	-	-	10	-	-	-	-
AGING	-	-	-	-	-	-	-	5	-	-	-	-
RESPECTING	-	-	4	-	5	-	5	10	-	9	3	8
BAKER	-	-	3	-	12	-	36	5	-	4	2	86
HOMEOPATHIC	-	-	-	-	-	-	-	11	-	10	4	-
WOW	3	-	1	-	1	-	1	3	-	2	1	20
NOON	-	-	10	-	23	-	25	4	-	3	1	236
TUGGING	-	-	-	-	-	-	-	7	-	-	-	-
TIDBITS	-	-	-	-	-	-	-	7	-	-	-	-
BEARING	2	-	12	-	22	-	25	7	-	5	2	43
MISTLETOE	-	-	-	-	-	-	-	9	-	6	3	4
SUBMERGED	-	-	5	-	7	-	7	9	-	-	3	-
UNHEALTHY	2	-	2	-	2	-	4	9	-	7	3	9
EMULATOR	-	-	-	-	-	-	-	8	-	8	4	-
COMMONER	-	-	1	-	1	-	1	8	-	6	3	10
INVASION	-	-	6	-	15	-	16	8	-	7	3	35
ENDING	3	-	8	-	25	-	31	6	-	5	2	39
DRIP	2	-	1	-	1	-	1	4	-	4	1	94
FEIGN	-	-	-	-	-	-	-	5	-	3	1	10
FEED	4	-	8	-	24	-	123	4	-	3	1	256
STAPHYLOCOCCUS	-	-	-	-	-	-	-	14	-	-	5	-
BITTEN	1	-	3	-	3	-	3	6	-	4	2	21
OBSERVATORY	1	-	2	-	2	-	3	11	-	-	5	5
